https://support.microsoft.com/en-us/help/192806/how-to-run-control-panel-tools-by-typing-a-command
https://www.lifewire.com/command-line-commands-for-control-panel-applets-2626060

Control panel tool             Command
Storage Spaces                     control /name Microsoft.StorageSpaces
Sync Center                        control /name Microsoft.SyncCenter
System                             control /name Microsoft.System / control sysdm.cpl
System Properties                  control sysdm.cpl
System Properties                  control sysdm.cpl
Tablet PC Settings                 control /name Microsoft.TabletPCSettings
Task Scheduler                     control schedtasks
Taskbar                            control /name Microsoft.Taskbar / rundll32.exe shell32.dll,Options_RunDLL 1
Taskbar and Start Menu             control /name Microsoft.TaskbarAndStartMenu / rundll32.exe shell32.dll,Options_RunDLL 1
Text to Speech                     control /name Microsoft.TextToSpeech
Troubleshooting                    control /name Microsoft.Troubleshooting
User Accounts                      control /name Microsoft.UserAccounts / control userpasswords
Welcome Center                     control /name Microsoft.WelcomeCenter
Windows Anytime Upgrade            control /name Microsoft.WindowsAnytimeUpgrade
Windows CardSpace                  control /name Microsoft.CardSpace / control infocardcpl.cpl
Windows Defender                   control /name Microsoft.WindowsDefender
Windows File Recovery              control /name Microsoft.BackupAndRestore
Windows Firewall                   control /name Microsoft.WindowsFirewall / control firewall.cpl
Windows Marketplace                control /name Microsoft.GetProgramsOnline
Windows Mobility Center            control /name Microsoft.MobilityCenter
Windows SideShow                   control /name Microsoft.WindowsSideShow
Windows Sidebar Properties         control /name Microsoft.WindowsSidebarProperties
Windows Update                     control /name Microsoft.WindowsUpdate
Wireless Link                      control irprops.cpl
iSCSI Initiator                    control /name Microsoft.iSCSIInitiator
